SoortMisdrijf,RegioS,Perioden,Unnamed: 0,ID,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
Brandstichting / ontploffing,Noord-Brabant (PV),2011,178058,178058,935.0,1.0,0.4,165.0,17.7,250.0
Brandstichting / ontploffing,Noord-Brabant (PV),2012,178059,178059,890.0,1.0,0.4,190.0,21.2,285.0
Brandstichting / ontploffing,Noord-Brabant (PV),2013,178060,178060,765.0,0.0,0.3,135.0,17.8,205.0
Brandstichting / ontploffing,Noord-Brabant (PV),2014,178061,178061,710.0,0.0,0.3,125.0,17.5,180.0
Brandstichting / ontploffing,Noord-Brabant (PV),2015,178062,178062,730.0,1.0,0.3,140.0,19.0,185.0
Brandstichting / ontploffing,Noord-Brabant (PV),2016,178063,178063,655.0,0.0,0.3,115.0,17.7,155.0
Brandstichting / ontploffing,Noord-Brabant (PV),2017,178064,178064,780.0,1.0,0.3,140.0,17.6,195.0
Brandstichting / ontploffing,Noord-Brabant (PV),2018,178065,178065,770.0,1.0,0.3,195.0,25.4,275.0
Brandstichting / ontploffing,Noord-Brabant (PV),2019,178066,178066,810.0,1.0,0.3,145.0,18.1,200.0
Brandstichting / ontploffing,Noord-Brabant (PV),2020,178067,178067,790.0,1.0,0.3,125.0,15.5,170.0
Brandstichting / ontploffing,Noord-Holland (PV),2010,178024,178024,995.0,0.0,0.4,230.0,22.9,375.0
Brandstichting / ontploffing,Noord-Holland (PV),2011,178025,178025,1005.0,0.0,0.4,260.0,25.8,395.0
Brandstichting / ontploffing,Noord-Holland (PV),2012,178026,178026,890.0,0.0,0.3,220.0,24.5,360.0
Brandstichting / ontploffing,Noord-Holland (PV),2013,178027,178027,755.0,0.0,0.3,155.0,20.8,235.0
Brandstichting / ontploffing,Noord-Holland (PV),2014,178028,178028,705.0,0.0,0.3,145.0,20.8,195.0
Brandstichting / ontploffing,Noord-Holland (PV),2015,178029,178029,735.0,0.0,0.3,160.0,21.4,210.0
Brandstichting / ontploffing,Noord-Holland (PV),2016,178030,178030,730.0,0.0,0.3,155.0,21.1,225.0
Brandstichting / ontploffing,Noord-Holland (PV),2017,178031,178031,715.0,0.0,0.3,140.0,19.6,170.0
